v,R,c,k,max_tilt,final_tilt,max_omega
7.857142857142858,34.285714285714285,52.5,2000.0,0.8505099321192826,0.6072974357102777,1.2031089536984987
7.857142857142858,34.285714285714285,52.5,2500.0,0.6843816601823671,0.2360743460004207,1.0822617024320966
7.857142857142858,34.285714285714285,52.5,3000.0,0.5728594991626,0.4047945328513723,0.9923051901325366
7.857142857142858,34.285714285714285,52.5,3500.0,0.492727150744136,0.17170759388599272,0.9214650518137136
7.857142857142858,34.285714285714285,75.0,1500.0,1.0950996981027352,0.5010745750953194,1.3404580383457283
7.857142857142858,34.285714285714285,75.0,2000.0,0.8308874357337808,0.5501317112173169,1.1749353139179348
7.857142857142858,34.285714285714285,75.0,2500.0,0.6701642793625863,0.2806695974550849,1.059641598866138
7.857142857142858,34.285714285714285,75.0,3000.0,0.5619050485333044,0.3668870885910425,0.9732364460079427
7.857142857142858,34.285714285714285,75.0,3500.0,0.4839696512931673,0.203227530170204,0.9048238965169105
7.857142857142858,34.285714285714285,97.5,1500.0,1.0671124651835948,0.5398905515477435,1.3051172637083714
7.857142857142858,34.285714285714285,97.5,2000.0,0.8122401534374668,0.5136319669095691,1.1476823531062685
7.857142857142858,34.285714285714285,97.5,2500.0,0.6565487951417244,0.30924513968906847,1.037688856897004
7.857142857142858,34.285714285714285,97.5,3000.0,0.5513666507854474,0.3426692318804542,0.954690298556315
7.857142857142858,34.285714285714285,97.5,3500.0,0.47552270517555995,0.2232360243012417,0.889088154705466
7.857142857142858,34.285714285714285,120.0,1500.0,1.040576447875958,0.5641048571527006,1.271978162063849
7.857142857142858,34.285714285714285,120.0,2000.0,0.7944518231087505,0.4903384610462277,1.1220251841753943
7.857142857142858,34.285714285714285,120.0,2500.0,0.6435015009405921,0.3275760002332007,1.0163751285643632
7.857142857142858,34.285714285714285,120.0,3000.0,0.5412256475537589,0.32719411904218265,0.936645292120897
7.857142857142858,34.285714285714285,120.0,3500.0,0.46737280391367125,0.23588627614072571,0.8737429854688281
7.857142857142858,48.57142857142857,30.0,1500.0,0.8159246344029748,0.24045977684294434,0.9992460108934629
7.857142857142858,48.57142857142857,30.0,2000.0,0.6148947795840319,0.49192577937258686,0.8698220454333931
7.857142857142858,48.57142857142857,30.0,2500.0,0.4935776913708222,0.11742946615074473,0.7804097430991559
